sample-id,filename,direction
58912076,/scratch/groups/t-sprehei1/class_data/RockCreek/58912076_69_L001_R2_001.fastq.gz,reverse
58912005,/scratch/groups/t-sprehei1/class_data/RockCreek/58912005_70_L001_R1_001.fastq.gz,forward
58912005,/scratch/groups/t-sprehei1/class_data/RockCreek/58912005_70_L001_R2_001.fastq.gz,reverse
58912004,/scratch/groups/t-sprehei1/class_data/RockCreek/58912004_71_L001_R1_001.fastq.gz,forward
58912004,/scratch/groups/t-sprehei1/class_data/RockCreek/58912004_71_L001_R2_001.fastq.gz,reverse
58912024,/scratch/groups/t-sprehei1/class_data/RockCreek/58912024_72_L001_R1_001.fastq.gz,forward
58912024,/scratch/groups/t-sprehei1/class_data/RockCreek/58912024_72_L001_R2_001.fastq.gz,reverse
58912013,/scratch/groups/t-sprehei1/class_data/RockCreek/58912013_73_L001_R1_001.fastq.gz,forward
58912013,/scratch/groups/t-sprehei1/class_data/RockCreek/58912013_73_L001_R2_001.fastq.gz,reverse
58912077,/scratch/groups/t-sprehei1/class_data/RockCreek/58912077_74_L001_R1_001.fastq.gz,forward
58912077,/scratch/groups/t-sprehei1/class_data/RockCreek/58912077_74_L001_R2_001.fastq.gz,reverse
58912003,/scratch/groups/t-sprehei1/class_data/RockCreek/58912003_75_L001_R1_001.fastq.gz,forward
58912003,/scratch/groups/t-sprehei1/class_data/RockCreek/58912003_75_L001_R2_001.fastq.gz,reverse
58912016,/scratch/groups/t-sprehei1/class_data/RockCreek/58912016_76_L001_R1_001.fastq.gz,forward
58912016,/scratch/groups/t-sprehei1/class_data/RockCreek/58912016_76_L001_R2_001.fastq.gz,reverse
58912082,/scratch/groups/t-sprehei1/class_data/RockCreek/58912082_77_L001_R1_001.fastq.gz,forward
58912082,/scratch/groups/t-sprehei1/class_data/RockCreek/58912082_77_L001_R2_001.fastq.gz,reverse
58912079,/scratch/groups/t-sprehei1/class_data/RockCreek/58912079_78_L001_R1_001.fastq.gz,forward
58912079,/scratch/groups/t-sprehei1/class_data/RockCreek/58912079_78_L001_R2_001.fastq.gz,reverse
58912017,/scratch/groups/t-sprehei1/class_data/RockCreek/58912017_79_L001_R1_001.fastq.gz,forward
58912017,/scratch/groups/t-sprehei1/class_data/RockCreek/58912017_79_L001_R2_001.fastq.gz,reverse
58912011,/scratch/groups/t-sprehei1/class_data/RockCreek/58912011_80_L001_R1_001.fastq.gz,forward
58912011,/scratch/groups/t-sprehei1/class_data/RockCreek/58912011_80_L001_R2_001.fastq.gz,reverse
58912018,/scratch/groups/t-sprehei1/class_data/RockCreek/58912018_81_L001_R1_001.fastq.gz,forward
58912018,/scratch/groups/t-sprehei1/class_data/RockCreek/58912018_81_L001_R2_001.fastq.gz,reverse
58912078,/scratch/groups/t-sprehei1/class_data/RockCreek/58912078_82_L001_R1_001.fastq.gz,forward
58912078,/scratch/groups/t-sprehei1/class_data/RockCreek/58912078_82_L001_R2_001.fastq.gz,reverse
58912048,/scratch/groups/t-sprehei1/class_data/RockCreek/58912048_83_L001_R1_001.fastq.gz,forward
58912048,/scratch/groups/t-sprehei1/class_data/RockCreek/58912048_83_L001_R2_001.fastq.gz,reverse
58912060,/scratch/groups/t-sprehei1/class_data/RockCreek/58912060_84_L001_R1_001.fastq.gz,forward
58912060,/scratch/groups/t-sprehei1/class_data/RockCreek/58912060_84_L001_R2_001.fastq.gz,reverse
